hs,bm,bk,ppn,ppnbm
0406.30.00,5,0,11,0
0406.40.00,5,0,11,0
0406.90.00,5,0,11,0
04.07,,,,
0407.11,,,,
0407.11.10,5,0,0,0
0407.11.90,5,0,0,0
0407.19,,,,
0407.19.11,5,0,0,0
0407.19.19,5,0,0,0
0407.19.91,5,0,0,0
0407.19.99,5,0,0,0
0407.21.00,5,0,0,0
0407.29,,,,
0407.29.10,5,0,0,0
0407.29.90,5,0,0,0
0407.90,,,,
0407.90.10,5,0,11 ,0
0407.90.20,5,0,11 ,0
0407.90.90,5,0,11 ,0
04.08,,,,
0408.11.00,5,0,11,0
0408.19.00,5,0,11,0
0408.91.00,5,0,11,0
0408.99.00,5,0,11,0
0409.00.00,5,0,11,0
04.10,,,,
0410.10.00,5,0,11,0
0410.90,,,,
0410.90.10,5,0,11,0
0410.90.20,5,0,11,0
0410.90.90,5,0,11,0
0501.00.00,5,0,11,0
05.02,,,,
0502.10.00,5,0,11,0
0502.90.00,5,0,11,0
0504.00.00,5,0,11,0
05.05,,,,
0505.10,,,,
0505.10.10,5,0,11,0
0505.10.90,5,0,11,0
0505.90,,,,
0505.90.10,5,0,11,0
0505.90.90,5,0,11 ,0
05.06,,,,
0506.10.00,5,0,11,0
0506.90.00,5,0,11,0
05.07,,,,
0507.10.00,5,0,11,0
0507.90,,,,
0507.90.20,5,0,11,0
0507.90.90,5,0,11,0
05.08,,,,
0508.00.20,5,0,11,0
0508.00.90,5,0,11,0
0510.00.00,5,0,11,0
05.11,,,,
0511.10.00,0,0,11,0
0511.91,,,,
0511.91.10,5,0,11,0
0511.91.20,5,0,11 ,0
0511.91.30,5,0,11,0
0511.91.90,5,0,11,0
0511.99,,,,
0511.99.10,0,0,11,0
0511.99.20,0,0,11,0
0511.99.30,5,0,11,0
0511.99.90,5,0,11 ,0
06.01,,,,
0601.10.00,10,0,11,0
0601.20,,,,
0601.20.10,10,0,11,0
0601.20.20,5,0,11,0
0601.20.90,10,0,11,0
06.02,,,,
0602.10,,,,
0602.10.10,20,0,11 ,0
0602.10.20,5,0,11 ,0
0602.10.90,5,0,11 ,0
0602.20.00,5,0,11 ,0
0602.30.00,5,0,11 ,0
0602.40.00,5,0,11 ,0
0602.90,,,,
0602.90.10,20,0,11 ,0
0602.90.20,0,0,11 ,0
0602.90.40,5,0,11 ,0
0602.90.50,10,0,11 ,0
0602.90.60,5,0,11 ,0
0602.90.90,10,0,11 ,0
06.03,,,,
0603.11.00,20,0,11,0
0603.12.00,20,0,11,0
0603.13.00,20,0,11,0
0603.14.00,20,0,11,0
0603.15.00,20,0,11,0
0603.19.00,20,0,11,0
0603.90.00,20,0,11,0
06.04,,,,
0604.20,,,,
0604.20.10,5,0,11,0
0604.20.90,5,0,11,0
0604.90,,,,
0604.90.10,5,0,11,0
0604.90.90,5,0,11,0
07.01,,,,
0701.10.00,0,0,0,0
0701.90,,,,
0701.90.10,20,0,0,0
0701.90.90,20,0,11,0
0702.00.00,5,0,0,0
07.03,,,,
0703.10,,,,
0703.10.11,0,0,0,0
0703.10.19,5,0,0,0
0703.10.21,0,0,0,0
0703.10.29,20,0,0,0
0703.20,,,,
0703.20.10,0,0,0,0
0703.20.90,5,0,0,0
0703.90,,,,
0703.90.10,0,0,0,0
0703.90.90,5,0,0,0
07.04,,,,
0704.10,,,,
0704.10.10,5,0,0,0
0704.10.20,5,0,0,0
0704.10.90,5,0,0,0
0704.20.00,5,0,0,0
0704.90,,,,
0704.90.10,5,0,0,0
0704.90.20,5,0,0,0
0704.90.30,5,0,0,0
0704.90.90,5,0,0,0
07.05,,,,
0705.11.00,5,0,0,0
0705.19.00,5,0,0,0
0705.21.00,5,0,0,0
0705.29.00,5,0,0,0
07.06,,,,
0706.10,,,,
0706.10.10,20,0,0,0
0706.10.20,5,0,0,0
0706.90.00,5,0,0,0
0707.00.00,5,0,0,0
07.08,,,,
0708.10.00,5,0,0,0
0708.20,,,,
0708.20.10,5,0,0,0
0708.20.20,5,0,0,0
0708.20.90,5,0,0,0
0708.90.00,5,0,0,0
07.09,,,,
0709.20.00,5,0,0,0
0709.30.00,5,0,0,0
0709.40.00,5,0,0,0
0709.51.00,5,0,0,0
0709.52.00,5,0,0,0
0709.53.00,5,0,0,0
0709.54.00,5,0,0,0
0709.55.00,5,0,0,0
0709.56.00,5,0,0,0
0709.59,,,,
0709.59.20,5,0,0,0
0709.59.90,5,0,0,0
0709.60,,,,
0709.60.10,5,0,0,0
0709.60.90,5,0,0,0
0709.70.00,5,0,0,0
0709.91.00,5,0,0,0
0709.92.00,5,0,0,0
0709.93.00,5,0,0,0
0709.99,,,,
0709.99.10,5,0,0,0
0709.99.20,5,0,0,0
0709.99.90,5,0,0,0
07.10,,,,
0710.10.00,5,0,11 ,0
0710.21.00,5,0,11 ,0
0710.22.00,5,0,11 ,0
0710.29.00,5,0,11 ,0
0710.30.00,5,0,11 ,0
0710.40.00,5,0,11 ,0
0710.80.00,5,0,11 ,0
0710.90.00,5,0,11 ,0
07.11,,,,
0711.20,,,,
0711.20.10,5,0,11,0
0711.20.90,5,0,11,0
0711.40,,,,
0711.40.10,5,0,11,0
0711.40.90,5,0,11,0
0711.51,,,,
0711.51.10,5,0,11,0
0711.51.90,5,0,11,0
0711.59,,,,
0711.59.10,5,0,11,0
0711.59.90,5,0,11,0
0711.90,,,,
0711.90.10,5,0,11,0
0711.90.20,5,0,11,0
0711.90.30,5,0,11,0
0711.90.40,5,0,11,0
0711.90.50,5,0,11,0
0711.90.60,5,0,11,0
0711.90.90,5,0,11,0
07.12,,,,
0712.20.00,5,0,11,0
0712.31.00,5,0,11,0
0712.32.00,5,0,11,0
0712.33.00,5,0,11,0
0712.34.00,5,0,11,0
0712.39,,,,
0712.39.10,5,0,11,0
0712.39.90,5,0,11,0
0712.90,,,,
0712.90.10,5,0,11,0
0712.90.20,5,0,11,0
0712.90.90,5,0,11,0
07.13,,,,
0713.10,,,,
0713.10.10,0,0,0,0
0713.10.90,5,0,11,0
0713.20,,,,
0713.20.10,0,0,0,0
0713.20.90,5,0,11,0
0713.31,,,,
0713.31.10,0,0,0,0
0713.31.90,5,0,11,0
0713.32,,,,
0713.32.10,0,0,0,0
0713.32.90,5,0,11,0
0713.33,,,,
0713.33.10,0,0,0,0
0713.33.90,5,0,11,0
0713.34,,,,
0713.34.10,0,0,0,0
0713.34.90,5,0,11,0
0713.35,,,,
0713.35.10,0,0,0,0
0713.35.90,5,0,11,0
0713.39,,,,
0713.39.10,0,0,0,0
0713.39.90,5,0,11,0
0713.40,,,,
0713.40.10,0,0,0,0
0713.40.90,5,0,11,0
0713.50,,,,
0713.50.10,0,0,0,0
0713.50.90,5,0,11,0
0713.60,,,,
0713.60.10,5,0,0,0
